name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
rachiid,299,66,0.22073578595317725,5,51.633590092798556,27.304263469057283,27.304263469057283,1.0,0.938,57.553,4,77,1148,419,78,0E-14,0.18377088305489261,2
asadsharef,199,6,0.03015075376884422,0,25.0,15.060268811406686,0.12329376678566915,122.14947441412093,0.001,0.042,0,10,2083,37,12,0E-14,0.2702702702702703,2
sujonkhan,474,166,0.350210970464135,10,51.619275933810826,27.096337500603248,27.096337500603248,1.0,0.087,73.603,0,422,212,861,65,0.03948896631823,0.4901277584204414,2
annuji,247,242,0.979757085020243,0,39.59278900822932,15.033068784039209,4.398031985153684,3.4181353920994493,0.003,2.623,1,29,1610,165,107,0.39393939393939,0.17575757575757575,2
amiohi,212,23,0.10849056603773585,2,40.427195856940514,15.03444437512141,1.3460478330707792,11.1693240059849,0.006,2.467,5,35,1685,111,28,0.02702702702702,0.3153153153153153,2
reetuahlawat,204,39,0.19117647058823528,0,46.316929313121015,15.002068301954585,7.301022142608668,2.0547901388221677,0.016,14.392,0,30,288,102,21,0E-14,0.29411764705882354,2
willywealth,502,185,0.36852589641434264,1,57.234075535621336,224.83135885626513,224.83135885626513,1.0,5.071,318.729,2,39,935,86,45,0E-14,0.45348837209302323,2
ivanfitness,146,137,0.9383561643835616,0,25.156858327039266,15.005785950549095,0.10003859150721502,149.9999722553755,0.0,0.0,0,15,1690,39,10,0E-14,0.38461538461538464,2
mamunjm,403,108,0.2679900744416873,0,48.20876465249021,15.899954212178132,14.89989365835065,1.067118637002285,0.04,29.144,1,82,3808,76,20,0E-14,1.0789473684210527,2
abrahamg12,231,20,0.08658008658008658,1,33.94789982486449,15.051391990515706,1.0253856761926048,14.678761699113599,0.027,0.946,0,0,0,26,6,0E-14,0.0,2
rodriguezgigiss,593,720,1.2141652613827993,2,39.86785229249342,15.075269535760317,0.5107351793305406,29.516802730371186,0.179,5.025,0,56,1802,52,56,0E-14,1.0769230769230769,2
